S.No,Question,Category,Sub-category,Answers,best_of_augmented
1,What are the programs offered by RACE for working professionals?,Courses,Details,"Thank you for your interest in RACE programs! RACE offers both long-term and short-term programs in emerging technologies such as Data Science, Cybersecurity, Artificial Intelligence, and Cloud Architecture and Security to meet the futurist demands of these industries. The long-term programs offered are;
1. PGD/MS in Business Analytics
2. PGD/ M. Tech/M.S in Artificial Intelligence
3. PGD/M. Tech/MS in Cybersecurity, and,
4. M. Sc. in Cloud Architecture and Security.
We also have 20+ short-term programs customized to add value to the participants.",The programs offered by RACE are for working professionals.
1,What are the programs offered by RACE for working professionals?,Courses,Details,"Thank you for your interest in RACE programs! RACE offers both long-term and short-term programs in emerging technologies such as Data Science, Cybersecurity, Artificial Intelligence, and Cloud Architecture and Security to meet the futurist demands of these industries. The long-term programs offered are;
1. PGD/MS in Business Analytics
2. PGD/ M. Tech/M.S in Artificial Intelligence
3. PGD/M. Tech/MS in Cybersecurity, and,
4. M. Sc. in Cloud Architecture and Security.
We also have 20+ short-term programs customized to add value to the participants.",What programs are offered by RACE for working professionals?
1,What are the programs offered by RACE for working professionals?,Courses,Details,"Thank you for your interest in RACE programs! RACE offers both long-term and short-term programs in emerging technologies such as Data Science, Cybersecurity, Artificial Intelligence, and Cloud Architecture and Security to meet the futurist demands of these industries. The long-term programs offered are;
1. PGD/MS in Business Analytics
2. PGD/ M. Tech/M.S in Artificial Intelligence
3. PGD/M. Tech/MS in Cybersecurity, and,
4. M. Sc. in Cloud Architecture and Security.
We also have 20+ short-term programs customized to add value to the participants.",What programs are offered by RACE for professionals?
1,What are the programs offered by RACE for working professionals?,Courses,Details,"Thank you for your interest in RACE programs! RACE offers both long-term and short-term programs in emerging technologies such as Data Science, Cybersecurity, Artificial Intelligence, and Cloud Architecture and Security to meet the futurist demands of these industries. The long-term programs offered are;
1. PGD/MS in Business Analytics
2. PGD/ M. Tech/M.S in Artificial Intelligence
3. PGD/M. Tech/MS in Cybersecurity, and,
4. M. Sc. in Cloud Architecture and Security.
We also have 20+ short-term programs customized to add value to the participants.",What are the programs for working professionals offered by RACE?
1,What are the programs offered by RACE for working professionals?,Courses,Details,"Thank you for your interest in RACE programs! RACE offers both long-term and short-term programs in emerging technologies such as Data Science, Cybersecurity, Artificial Intelligence, and Cloud Architecture and Security to meet the futurist demands of these industries. The long-term programs offered are;
1. PGD/MS in Business Analytics
2. PGD/ M. Tech/M.S in Artificial Intelligence
3. PGD/M. Tech/MS in Cybersecurity, and,
4. M. Sc. in Cloud Architecture and Security.
We also have 20+ short-term programs customized to add value to the participants.",What programs are offered to working professionals?
2,What is the duration of each program?,Courses,Duration,"The duration of postgraduate degrees will be two years, and PG Diploma will be of one year. The duration of short-term programs depends on the programs ranges from 5 days to 16 days. ",What is the duration of each program?
2,What is the duration of each program?,Courses,Duration,"The duration of postgraduate degrees will be two years, and PG Diploma will be of one year. The duration of short-term programs depends on the programs ranges from 5 days to 16 days. ",What is the duration of a program?
2,What is the duration of each program?,Courses,Duration,"The duration of postgraduate degrees will be two years, and PG Diploma will be of one year. The duration of short-term programs depends on the programs ranges from 5 days to 16 days. ",What is the duration of the program?
2,What is the duration of each program?,Courses,Duration,"The duration of postgraduate degrees will be two years, and PG Diploma will be of one year. The duration of short-term programs depends on the programs ranges from 5 days to 16 days. ",The duration of each program is not known.
2,What is the duration of each program?,Courses,Duration,"The duration of postgraduate degrees will be two years, and PG Diploma will be of one year. The duration of short-term programs depends on the programs ranges from 5 days to 16 days. ",The duration of each program is unknown.
3,What are the prerequisites and prior knowledge required to join RACE programs?,Courses,Prerequisites,"Working professionals with a minimum of 50% in their undergraduate degree and two years of relevant work experience in the industry are eligible for long-term programs. As for short-term programs, you should have a good understanding and expertise in the domain. ",Prerequisites and prior knowledge are required to join RACE programs.
3,What are the prerequisites and prior knowledge required to join RACE programs?,Courses,Prerequisites,"Working professionals with a minimum of 50% in their undergraduate degree and two years of relevant work experience in the industry are eligible for long-term programs. As for short-term programs, you should have a good understanding and expertise in the domain. ",Prerequisites and prior knowledge are required to join the RACE programs.
3,What are the prerequisites and prior knowledge required to join RACE programs?,Courses,Prerequisites,"Working professionals with a minimum of 50% in their undergraduate degree and two years of relevant work experience in the industry are eligible for long-term programs. As for short-term programs, you should have a good understanding and expertise in the domain. ",Prerequisites and prior knowledge are required for RACE programs.
3,What are the prerequisites and prior knowledge required to join RACE programs?,Courses,Prerequisites,"Working professionals with a minimum of 50% in their undergraduate degree and two years of relevant work experience in the industry are eligible for long-term programs. As for short-term programs, you should have a good understanding and expertise in the domain. ",Prerequisites and prior knowledge are needed to join RACE programs.
3,What are the prerequisites and prior knowledge required to join RACE programs?,Courses,Prerequisites,"Working professionals with a minimum of 50% in their undergraduate degree and two years of relevant work experience in the industry are eligible for long-term programs. As for short-term programs, you should have a good understanding and expertise in the domain. ",Prerequisites and prior knowledge are required to join a RACE program.
4,What is the maximum number of participants for each program?,Courses,Strength,"For postgraduate degree programs, the maximum number of participants can be 30.  In the case of short-term programs, we can accommodate only 15-20 participants in each batch.",What is the maximum number of participants for each program?
4,What is the maximum number of participants for each program?,Courses,Strength,"For postgraduate degree programs, the maximum number of participants can be 30.  In the case of short-term programs, we can accommodate only 15-20 participants in each batch.",What is the maximum number of participants for a program?
4,What is the maximum number of participants for each program?,Courses,Strength,"For postgraduate degree programs, the maximum number of participants can be 30.  In the case of short-term programs, we can accommodate only 15-20 participants in each batch.",What is the maximum number of participants in each program?
4,What is the maximum number of participants for each program?,Courses,Strength,"For postgraduate degree programs, the maximum number of participants can be 30.  In the case of short-term programs, we can accommodate only 15-20 participants in each batch.",What is the maximum number of participants for the program?
4,What is the maximum number of participants for each program?,Courses,Strength,"For postgraduate degree programs, the maximum number of participants can be 30.  In the case of short-term programs, we can accommodate only 15-20 participants in each batch.",What is the maximum number of participants?
5,What are the delivery modes for each program?,Courses,Delivery Modes,RACE offers weekend classroom training for long-term programs. Both blended and online mode of delivery is available for short-term programs depending on the program you choose.,What are the delivery modes for each program?
5,What are the delivery modes for each program?,Courses,Delivery Modes,RACE offers weekend classroom training for long-term programs. Both blended and online mode of delivery is available for short-term programs depending on the program you choose.,What are the delivery methods for each program?
5,What are the delivery modes for each program?,Courses,Delivery Modes,RACE offers weekend classroom training for long-term programs. Both blended and online mode of delivery is available for short-term programs depending on the program you choose.,What are the delivery modes for the program?
5,What are the delivery modes for each program?,Courses,Delivery Modes,RACE offers weekend classroom training for long-term programs. Both blended and online mode of delivery is available for short-term programs depending on the program you choose.,What is the delivery mode for each program?
5,What are the delivery modes for each program?,Courses,Delivery Modes,RACE offers weekend classroom training for long-term programs. Both blended and online mode of delivery is available for short-term programs depending on the program you choose.,What are the delivery options for each program?
6,Do I have the option of completing the program online?,Courses,Others,"No, you don’t have the option to complete the programs online, except for the specifically mentioned short-term programs.",Do I have the option of completing the program online?
6,Do I have the option of completing the program online?,Courses,Others,"No, you don’t have the option to complete the programs online, except for the specifically mentioned short-term programs.",Do I have the option to complete the program online?
6,Do I have the option of completing the program online?,Courses,Others,"No, you don’t have the option to complete the programs online, except for the specifically mentioned short-term programs.",Do I have the option of finishing the program online?
6,Do I have the option of completing the program online?,Courses,Others,"No, you don’t have the option to complete the programs online, except for the specifically mentioned short-term programs.",Can I complete the program online?
6,Do I have the option of completing the program online?,Courses,Others,"No, you don’t have the option to complete the programs online, except for the specifically mentioned short-term programs.",The program can be completed online.
7,How do I register/apply for the program I am interested in?,Admission,Application,"Happy to know about your decision to apply to our program.  Click on the ‘Apply Now’ button on our website, https://race.reva.edu.in. You’ll be directed to a page where you can choose your preferred program and the details. Use the pop-up form to fill in your details and register. Once you’ve registered with us, you will get a confirmation mail regarding your registration. Soon after submitting the registration form, one of our coordinators will contact you and help you through the application process.",How do I apply for the program I am interested in?
7,How do I register/apply for the program I am interested in?,Admission,Application,"Happy to know about your decision to apply to our program.  Click on the ‘Apply Now’ button on our website, https://race.reva.edu.in. You’ll be directed to a page where you can choose your preferred program and the details. Use the pop-up form to fill in your details and register. Once you’ve registered with us, you will get a confirmation mail regarding your registration. Soon after submitting the registration form, one of our coordinators will contact you and help you through the application process.",How do I register for the program I am interested in?
7,How do I register/apply for the program I am interested in?,Admission,Application,"Happy to know about your decision to apply to our program.  Click on the ‘Apply Now’ button on our website, https://race.reva.edu.in. You’ll be directed to a page where you can choose your preferred program and the details. Use the pop-up form to fill in your details and register. Once you’ve registered with us, you will get a confirmation mail regarding your registration. Soon after submitting the registration form, one of our coordinators will contact you and help you through the application process.",How do I apply for the program I'm interested in?
7,How do I register/apply for the program I am interested in?,Admission,Application,"Happy to know about your decision to apply to our program.  Click on the ‘Apply Now’ button on our website, https://race.reva.edu.in. You’ll be directed to a page where you can choose your preferred program and the details. Use the pop-up form to fill in your details and register. Once you’ve registered with us, you will get a confirmation mail regarding your registration. Soon after submitting the registration form, one of our coordinators will contact you and help you through the application process.",How do I apply for the program that I am interested in?
7,How do I register/apply for the program I am interested in?,Admission,Application,"Happy to know about your decision to apply to our program.  Click on the ‘Apply Now’ button on our website, https://race.reva.edu.in. You’ll be directed to a page where you can choose your preferred program and the details. Use the pop-up form to fill in your details and register. Once you’ve registered with us, you will get a confirmation mail regarding your registration. Soon after submitting the registration form, one of our coordinators will contact you and help you through the application process.",How do I apply for a program that I am interested in?
8,Do you provide learning materials to the participants?,Courses,Materials,"Yes, once you’ve joined the program, you will get the login details to access the Learning Management System (LMS). LMS is a one-stop destination for all the learning materials such as pre-readings, assignments, in-class resources, recorded videos of classroom sessions, additional reading materials, webinars, and other learning resources added as per the requirements. ",Do you give learning materials to the participants?
8,Do you provide learning materials to the participants?,Courses,Materials,"Yes, once you’ve joined the program, you will get the login details to access the Learning Management System (LMS). LMS is a one-stop destination for all the learning materials such as pre-readings, assignments, in-class resources, recorded videos of classroom sessions, additional reading materials, webinars, and other learning resources added as per the requirements. ",Do you offer learning materials to the participants?
8,Do you provide learning materials to the participants?,Courses,Materials,"Yes, once you’ve joined the program, you will get the login details to access the Learning Management System (LMS). LMS is a one-stop destination for all the learning materials such as pre-readings, assignments, in-class resources, recorded videos of classroom sessions, additional reading materials, webinars, and other learning resources added as per the requirements. ",Do you provide learning materials?
8,Do you provide learning materials to the participants?,Courses,Materials,"Yes, once you’ve joined the program, you will get the login details to access the Learning Management System (LMS). LMS is a one-stop destination for all the learning materials such as pre-readings, assignments, in-class resources, recorded videos of classroom sessions, additional reading materials, webinars, and other learning resources added as per the requirements. ",Do you give the participants learning materials?
8,Do you provide learning materials to the participants?,Courses,Materials,"Yes, once you’ve joined the program, you will get the login details to access the Learning Management System (LMS). LMS is a one-stop destination for all the learning materials such as pre-readings, assignments, in-class resources, recorded videos of classroom sessions, additional reading materials, webinars, and other learning resources added as per the requirements. ",Do you give learning materials to participants?
9,What kind of infrastructure facilities are provided by RACE?,Courses,Infrastructure,"RACE offers the most modern facilities to the participants, such as Security Operations Centre, Cyber Range, Simulations, Natural Language Technology Lab, Vision Technology Lab, Deep Learning Accelerator, and Humanoid Simulator to support experiential learning. ",What kind of infrastructure facilities are provided by RACE?
9,What kind of infrastructure facilities are provided by RACE?,Courses,Infrastructure,"RACE offers the most modern facilities to the participants, such as Security Operations Centre, Cyber Range, Simulations, Natural Language Technology Lab, Vision Technology Lab, Deep Learning Accelerator, and Humanoid Simulator to support experiential learning. ",What kind of facilities are provided by RACE?
9,What kind of infrastructure facilities are provided by RACE?,Courses,Infrastructure,"RACE offers the most modern facilities to the participants, such as Security Operations Centre, Cyber Range, Simulations, Natural Language Technology Lab, Vision Technology Lab, Deep Learning Accelerator, and Humanoid Simulator to support experiential learning. ",What infrastructure facilities are provided by RACE?
9,What kind of infrastructure facilities are provided by RACE?,Courses,Infrastructure,"RACE offers the most modern facilities to the participants, such as Security Operations Centre, Cyber Range, Simulations, Natural Language Technology Lab, Vision Technology Lab, Deep Learning Accelerator, and Humanoid Simulator to support experiential learning. ",Infrastructure facilities are provided by RACE.
9,What kind of infrastructure facilities are provided by RACE?,Courses,Infrastructure,"RACE offers the most modern facilities to the participants, such as Security Operations Centre, Cyber Range, Simulations, Natural Language Technology Lab, Vision Technology Lab, Deep Learning Accelerator, and Humanoid Simulator to support experiential learning. ",What type of infrastructure facilities are provided by RACE?
10,Am I eligible for any discounts?,Admission,Discounts,"Sure, but conditions apply! We provide discounts based on our promotional offers or meet specific eligibility criteria to avail scholarships. If you have queries on eligibility, please talk to our coordinators. ",I wonder if I am eligible for any discounts.
10,Am I eligible for any discounts?,Admission,Discounts,"Sure, but conditions apply! We provide discounts based on our promotional offers or meet specific eligibility criteria to avail scholarships. If you have queries on eligibility, please talk to our coordinators. ",Are I eligible for any discounts?
10,Am I eligible for any discounts?,Admission,Discounts,"Sure, but conditions apply! We provide discounts based on our promotional offers or meet specific eligibility criteria to avail scholarships. If you have queries on eligibility, please talk to our coordinators. ",I don't know if I'm eligible for any discounts.
10,Am I eligible for any discounts?,Admission,Discounts,"Sure, but conditions apply! We provide discounts based on our promotional offers or meet specific eligibility criteria to avail scholarships. If you have queries on eligibility, please talk to our coordinators. ",I don't know if I am eligible for any discounts.
10,Am I eligible for any discounts?,Admission,Discounts,"Sure, but conditions apply! We provide discounts based on our promotional offers or meet specific eligibility criteria to avail scholarships. If you have queries on eligibility, please talk to our coordinators. ",Is it possible that I am eligible for any discounts?
11,What are the tools used for experiential learning in your programs?,Courses,Materials,Access to fifty plus open source and proprietary tools are provided that are helpful in hands-on learning apart from the access to live capstone projects and case scenarios.,Experiential learning tools are used in your programs.
11,What are the tools used for experiential learning in your programs?,Courses,Materials,Access to fifty plus open source and proprietary tools are provided that are helpful in hands-on learning apart from the access to live capstone projects and case scenarios.,What are the learning tools used in your programs?
11,What are the tools used for experiential learning in your programs?,Courses,Materials,Access to fifty plus open source and proprietary tools are provided that are helpful in hands-on learning apart from the access to live capstone projects and case scenarios.,What are the tools you use for learning?
11,What are the tools used for experiential learning in your programs?,Courses,Materials,Access to fifty plus open source and proprietary tools are provided that are helpful in hands-on learning apart from the access to live capstone projects and case scenarios.,What are the tools you use to teach?
11,What are the tools used for experiential learning in your programs?,Courses,Materials,Access to fifty plus open source and proprietary tools are provided that are helpful in hands-on learning apart from the access to live capstone projects and case scenarios.,How are the tools used for learning?
12,Is it possible to watch a classroom session before joining a program?,Admission,Others,"Yes, you can visit a classroom session to understand the teaching-learning process involved in our corporate programs. The coordinator assigned to you will assist you in visiting our University. ",Is it possible to watch a classroom session before joining a program?
12,Is it possible to watch a classroom session before joining a program?,Admission,Others,"Yes, you can visit a classroom session to understand the teaching-learning process involved in our corporate programs. The coordinator assigned to you will assist you in visiting our University. ",Is it possible to watch a classroom before joining a program?
12,Is it possible to watch a classroom session before joining a program?,Admission,Others,"Yes, you can visit a classroom session to understand the teaching-learning process involved in our corporate programs. The coordinator assigned to you will assist you in visiting our University. ",Is it possible to watch a classroom session before you join a program?
12,Is it possible to watch a classroom session before joining a program?,Admission,Others,"Yes, you can visit a classroom session to understand the teaching-learning process involved in our corporate programs. The coordinator assigned to you will assist you in visiting our University. ",Is it possible to observe a classroom session before joining a program?
12,Is it possible to watch a classroom session before joining a program?,Admission,Others,"Yes, you can visit a classroom session to understand the teaching-learning process involved in our corporate programs. The coordinator assigned to you will assist you in visiting our University. ",Is it possible to watch a class before joining a program?
13,What kind of outcomes can I expect after the completion of my program?,Courses,Outcomes,"The program outcomes differ from program to program. Upon completing each program, you will become a pro in relevant tools, industry skills, and industry best practices. The program enables you to achieve your professional goals. ",What kind of outcomes can I expect after completing my program?
13,What kind of outcomes can I expect after the completion of my program?,Courses,Outcomes,"The program outcomes differ from program to program. Upon completing each program, you will become a pro in relevant tools, industry skills, and industry best practices. The program enables you to achieve your professional goals. ",What kind of outcomes can I expect after I finish my program?
13,What kind of outcomes can I expect after the completion of my program?,Courses,Outcomes,"The program outcomes differ from program to program. Upon completing each program, you will become a pro in relevant tools, industry skills, and industry best practices. The program enables you to achieve your professional goals. ",What kind of outcomes can I expect after my program is over?
13,What kind of outcomes can I expect after the completion of my program?,Courses,Outcomes,"The program outcomes differ from program to program. Upon completing each program, you will become a pro in relevant tools, industry skills, and industry best practices. The program enables you to achieve your professional goals. ",What outcomes can I expect after I finish my program?
13,What kind of outcomes can I expect after the completion of my program?,Courses,Outcomes,"The program outcomes differ from program to program. Upon completing each program, you will become a pro in relevant tools, industry skills, and industry best practices. The program enables you to achieve your professional goals. ",What outcomes can I expect after completing my program?
14,What is the admission cycle?,Admission,Frequency,"You may apply to our programs throughout the year. For the master’s and long term programs, we have two admission cycles per year; September and February.  We will not admit more than 30 students in a batch. Once we accept the said number of students, we will close the admission for that batch. Once the admissions are closed for a particular batch, you can apply only for the next batch. Hence, completing the application process as early as possible is highly recommended.",What is the admission cycle?
14,What is the admission cycle?,Admission,Frequency,"You may apply to our programs throughout the year. For the master’s and long term programs, we have two admission cycles per year; September and February.  We will not admit more than 30 students in a batch. Once we accept the said number of students, we will close the admission for that batch. Once the admissions are closed for a particular batch, you can apply only for the next batch. Hence, completing the application process as early as possible is highly recommended.",What is the admissions cycle?
14,What is the admission cycle?,Admission,Frequency,"You may apply to our programs throughout the year. For the master’s and long term programs, we have two admission cycles per year; September and February.  We will not admit more than 30 students in a batch. Once we accept the said number of students, we will close the admission for that batch. Once the admissions are closed for a particular batch, you can apply only for the next batch. Hence, completing the application process as early as possible is highly recommended.",What's the admission cycle?
14,What is the admission cycle?,Admission,Frequency,"You may apply to our programs throughout the year. For the master’s and long term programs, we have two admission cycles per year; September and February.  We will not admit more than 30 students in a batch. Once we accept the said number of students, we will close the admission for that batch. Once the admissions are closed for a particular batch, you can apply only for the next batch. Hence, completing the application process as early as possible is highly recommended.",The admission cycle is what it is.
14,What is the admission cycle?,Admission,Frequency,"You may apply to our programs throughout the year. For the master’s and long term programs, we have two admission cycles per year; September and February.  We will not admit more than 30 students in a batch. Once we accept the said number of students, we will close the admission for that batch. Once the admissions are closed for a particular batch, you can apply only for the next batch. Hence, completing the application process as early as possible is highly recommended.",What is the admission cycle like?
15,Is it possible to pay my fees in instalments?,Admission,Fee,"We prefer one-time fee payment using convenient payment modes such as online bank transfer, credit/debit card transfer, cheque, Paytm transfer, etc. The website has integrated Finzy, our payment partner and other banks. You can reach out to any of our loan partners for an educational loan, available at a lower interest rate. ",Is it possible to pay my fees in installments?
